,date,review,rating,isEdited,userName,title,developerResponse
0,2021-11-17 10:50:59,"First, I have to acknowledge the fact that you guys are doing a great job with your banking services and also the user experience of your mobile app. Somehow, I wish you didn’t need government regulations. But it’s fine. I want to report a bug I just noticed after updating my mobile app. I use an iPhone8, and I noticed that after requesting for a physical debit card, and got to the Thank You Page, I clicked the ‘Thank You’ button, which was supposed to exit me from the flow, but I only noticed the ‘Done’ button animate, and the app remained there. I think you should look into this. Thank you.",5,False,Tradegad,Reporting a bug,
1,2023-04-29 08:58:24,"I updated my kuda app few minutes again and since then the kuda app is not opening anymore, if I click on the app it doesn’t open anymore, I tried using ussd but it’s not working either, been having this issues since I updated my bank app, I called kuda customer care but they don’t pick, I sent couple mails but they don’t respond, all they keep saying is send help@kuda but doesn’t work either. Pls what’s going on with your bank because this is more like a scam and right now I will need to list this on social media so people can start moving their money out of your bank because you people are scam now, I believed this bank before but not anymore, pls don’t use this bank it’s becoming a scam, it happened to two of my friends last week and now it happened to me this morning after update it doesn’t work anymore",1,False,pkaylyfe,Doesn’t work after update,"{'id': 36270999, 'body': ""We're sincerely sorry for the inconvenience this may have caused you. Please you will need to update the version of your iOS on the appstore and then try again. Please reach out to us help@kuda.com if the issue persists. Thank you .💜"", 'modified': '2023-05-02T05:25:40Z'}"
2,2023-01-31 14:25:15,"Kuda bank is fast becoming a scam ,I made payment with my card and the payment was declined and they refused to reverse the money back ,put a call across to the number on the app they refused to pick ,went to their social media page ,no response,I decided to go tru comments on their page ,from the comment it seems this bank has been scamming people for long ,and I don’t want others to be victim of this ,A lot of complains on their page on instagram ,no single response from Kuda to address their complaints to even boost customers confidence,please run from them",5,False,Pee.warri,Bank is becoming a scam,"{'id': 34634345, 'body': ""Hi there , We're sincerely sorry for the inconvenience this may have caused you. Please can you share with us the details of the transactions( amount and date) to enable us investigate immediately & solve the issue by send a mail to help@kuda.com . Your Kuda isn't going anywhere and your money is safe and secure in your account. We are always available to provide answers to your concerns at all times. Thank you 💜"", 'modified': '2023-02-02T10:45:29Z'}"
3,2021-11-11 09:08:09,"Kuda I don’t understand you guys,immediately a huge sum of money enter your app it’ll never come out again either you lock our account of you give us some flimsy excuse about our BVN needs being updated or something imagining borrowing 10,000 from you guys and in return I paid 15,000 are you guys fraud or something plus your customer care don’t reply at all tell me how I can remove my BVN form your app I want to stop using it THANK YOU",5,False,Franky306,Money becoming prisoner in your App,
4,2021-03-13 16:23:47,"I try to make an urgent transfer to my Firstbank account and it said I should make an upgrade first by inputting my BVN details, I repeatedly did that over and over but it kept on saying, “BVN or date of birth incorrect”, due to the fact that I urgently needed and still need the money, I inputted my friends BVN just to get my money out of your bank quickly, after doing that, it said something about the name on the BVN account does not match my Kuda bank account name, so I inputted my main BVN Number again, and it said, “It’s been reviewed” or something like that, that it’s going to take weeks and I need that money now. My friend’s Kuda account didn’t take this long, it reflected, now that I try saving money with you, this is happening for no reason at all, please just tell me how to get my money out of your bank, and never again come to this app, I can’t be dealing with this issues.",1,False,WiseMan3321,Massive ISSUES,
5,2020-11-07 12:41:54,"I really like this app and would recommend it to people to use. It’s really good, easy identity confirmation, first money transfer. I’ve never had any problem with any transaction ever since I started using this app and I would have given it a five start but the only issue I’m having with this app is the maintenance issues, maintenance shouldn’t be done during the day in order not to disturb people using it for business. It should be don’t in the midnight when people using it won’t be much... I will be happy if kuda team can look into this for me and I will be happy if that’s corrected cause while upgrading this app, it’s stops people from using it and might be disturbing any urgent transaction..",4,False,Temmy0012,Best app,
6,2022-11-05 13:12:01,"Id love to give this a 5 star but if you dare have issues with your account then know you’re in trouble because their customer service number won’t work, in app chat will take about 4 hours before they reply and even when they reply you’ll just get to wait another hours for someone to talk to you, and the person will only send you just one message or link them would be off again for hours. just for me to change my number they sent a link, I’ve keep trying this link more than 50 times it keeps saying  “something went wrong” and they won’t chat neither will you be able to call them, that’s stressful and it’s frustrating really bad, pls do something about customer service!!",2,False,Thony_richie,Worst customer service,
7,2023-05-23 10:23:49,"I tried changing the phone number on my Kuda Account because I no longer have access to the former sim but the process is annoying. They sent me a link through my email to upload my ID photo but the link won’t capture my selfie video for verification, it says it’s not supported on my phone version. I tried using my laptop and it didn’t work out too. Please make the process a bit easier, I understand that this is security purpose but you can make everything easy by taking selfies in the app. I got a new phone but I can’t transfer my bank app because I don’t have my old sim again ( it has been deactivated)  I need to change my phone number so I can be able to receives SMS OTPs for verifications",2,False,Merigo1,Please review this ASAP,"{'id': 36721654, 'body': ""Hi there ,\r\nWe're sorry for any difficulties you might have experienced in using the Kuda app and the delay in responding to your complaint. Please can you send a mail to help@kuda.com to enable us follow-up with the resolution of your complaint, if they are yet to be resolved? We look forward to your response.\r\nThank you💜\r\n"", 'modified': '2023-05-25T06:52:38Z'}"
8,2022-04-11 08:19:22,"This bank is good but what if you have a problem who do you run to when there’s a problem, is it the only one branch located at yaba, or is it the Customers care which doesn’t ever reply,  everything on the customer care chat is not live, everything is programmed so you can’t have a direct communication which won’t let you explain well. I am here in imo state I did transfer to my junior bros bank he didn’t get the money but they debited me, and they didn’t bounce the money back either. it’s been a month I’ve tried everything I can’t still everything is in vain. I need my money back, it’ll be nice if you guys see my comments and attend to me, 50k really means a lot to me, am really in pain. I won’t want to conclude this as what I think it is",1,False,Ebube agu bright,My experience,"{'id': 29265708, 'body': ""Hi Ebube ,\r\nI'm sorry for the inconvenience this may have caused you. Please have you sent us an in-app message or email help@kudabank.com from the email linked to your account stating your complaint? Please share your Email address to enable us to follow up with the resolution.\r\nThank you"", 'modified': '2022-04-19T16:38:39Z'}"
9,2022-08-05 22:42:10,"It’s more like a total rubbish ever since Kuda stopped displaying phone numbers data plan is purchased for. Like this issue is not making sense at all because sometimes when you try buying data for someone or not even sure of the number you purchased for; probably a mistake or something KUDA keeps number off the screen. This is bad, worst and will get worsen if it’s not adequately corrected. Phone numbers should be displayed on the transaction history when data is paid for same way it is displayed when airtime is paid for!. Fix this and I’ll come back here to give a 5-Star",2,False,MthickM,Internet Bill Payment,"{'id': 31329597, 'body': ""Hi There,\r\nI'm sorry for the inconvenience this may have caused you. Please have you sent us an in-app message or email help@kudabank.com from the email linked to your account stating your complaint? Please share your Email address to enable us to follow up with the resolution.\r\nThank you💜"", 'modified': '2022-08-08T07:08:48Z'}"
